SampleID,10x,15x,20x,40x,50x
1077,96.06,93.12,90.92,78.29,71.12
1237,97.24,95.13,93.57,84.31,79.02
1143,97.03,94.90,93.31,83.82,78.32
1004,96.55,94.06,92.19,81.31,75.10
1256,96.49,93.96,92.08,81.02,74.70
1071,96.43,93.77,91.80,80.45,74.04
1040,96.61,94.25,92.48,82.01,75.99
1010,97.43,95.68,94.38,86.59,82.06
1107,96.74,94.52,92.86,83.10,77.47
1139,95.89,92.72,90.32,76.20,68.03
1017,96.81,94.55,92.87,83.03,77.42
1029,97.26,95.37,93.95,85.45,80.53
1109,96.82,94.66,93.05,83.67,78.32
1112,96.87,94.78,93.21,84.12,78.93
1046,97.09,95.05,93.53,84.63,79.59
1126,96.53,94.17,92.41,82.22,76.39
1261,96.98,94.78,93.16,83.74,78.39
1128,97.14,95.20,93.76,85.24,80.35
1051,96.80,94.45,92.70,82.68,77.02
1073,96.35,93.64,91.61,79.76,72.93
1116,96.84,94.67,93.04,83.49,77.97
1114,97.11,95.19,93.75,85.33,80.48
1144,95.40,92.04,89.59,75.36,67.14
1023,97.02,94.95,93.40,84.16,78.82
1169,95.90,92.79,90.48,77.04,69.38
1244,97.03,94.90,93.31,83.86,78.43
1157,94.41,90.35,87.37,70.63,61.42
1035,96.60,94.15,92.34,81.68,75.59
1155,94.62,90.71,87.86,71.83,62.90
1410,94.79,91.14,88.48,73.26,64.62
1113,97.02,95.04,93.54,84.70,79.54
1117,96.78,94.59,92.97,83.73,78.57
1024,96.94,94.84,93.29,84.31,79.25
1161,96.91,94.61,92.86,82.17,75.93
1147,95.59,92.27,89.81,75.74,67.77
1123,97.18,95.32,93.94,85.66,80.90
1001,96.71,94.37,92.60,82.15,76.12
1026,96.63,94.24,92.47,81.96,75.90
1230,96.54,94.03,92.13,81.00,74.57
1167,94.44,90.26,87.16,69.29,59.27
1093,93.24,88.13,84.36,62.37,50.49
1142,96.15,93.30,91.17,78.78,71.68
1153,94.47,90.47,87.51,70.86,61.56
1127,96.40,93.94,92.12,81.61,75.67
1088,95.03,91.24,88.42,71.77,62.19
1121,96.71,94.47,92.79,82.85,77.14
1217,97.63,95.96,94.70,87.14,82.70
1072,97.34,95.34,93.84,84.87,79.66
1007,96.82,94.57,92.87,82.77,76.96
1379,96.28,93.46,91.35,78.66,71.36
