SampleID,Read_Depth
2017,39.0
2261,43.0
2003,37.0
2214,35.0
2157,31.0
2193,38.0
2171,36.0
2168,42.0
1394,40.0
2023,41.0
2208,43.0
2257,41.0
2145,36.0
2152,37.0
2074,33.0
2063,38.0
2052,37.0
2181,32.0
2173,37.0
2162,42.0
2142,40.0
2161,40.0
2517,33.0
2021,42.0
2166,36.0
2048,35.0
2134,37.0
2078,33.0
2196,42.0
2102,34.0
2269,34.0
2179,28.0
2155,32.0
2072,42.0
2239,22.0
1344,38.0
2221,34.0
2042,37.0
2184,35.0
2066,41.0
2059,38.0
2170,40.0
1409,39.0
2198,36.0
2087,31.0
1406,41.0
2194,48.0
2024,39.0
2077,35.0
2185,33.0
